Malay,English
saya,I
yang,which
aku,me
dia,him
awak,you
kau,you
ini,this
di,in
tak,no
dan,and
akan,will
tidak,no
kita,us
apa,what
kamu,you
itu,that
untuk,for
ada,there is
boleh,can
mereka,them
dengan,with
anda,you
tahu,know
ke,to
kami,us
ya,yes
dari,from
dalam,in
sini,here
semua,all
tapi,but
pergi,go
orang,people
adalah,is
nak,son
ia,it
jadi,so
sekarang,now
lagi,again
pada,on
jangan,don't
dah,already
bukan,not
buat,do
sudah,already
seperti,like
jika,if
baik,good
perlu,necessary
mana,where
satu,one
telah,has been
hanya,only
lebih,more
datang,come
oh,oh
mungkin,maybe
saja,just
kenapa,why
ayah,father
sangat,very
siapa,who
mahu,want
bagaimana,how
seorang,a person
hari,day
dapat,can
juga,too
terima,accept
rasa,feel
kasih,love
masa,time
kalau,if
ni,this
lakukan,do
tuan,sir
pernah,ever
tu,that
atau,or
sesuatu,something
mari,come on
sana,there
kepada,to
masih,still
mati,dead
adakah,is there
tiada,none
kerana,because
baiklah,okay
menjadi,to be
banyak,a lot
cakap,talk
betul,right
keluar,come out
tentang,about
lain,another
begitu,so
dengar,listen
tempat,place
beritahu,tell
selamat,safe
bagus,nice
macam,sort of
lihat,see
harus,should
anak,child
hei,hey
hidup,life
maaf,sorry
diri,self
kembali,come back
ingin,want to
lelaki,men
malam,night
baru,new
tunggu,wait
melihat,see
cepat,quick
pun,even
tolong,please
sedang,moderate
rumah,home
kan,right
masuk,come in
nampak,see
cuma,just
tahun,year
berada,to be
suka,love
tetapi,but
berlaku,happen
kata,said
sama,same
kawan,friends
fikir,thought
okey,okay
cuba,try
pasti,sure
sendiri,own
mempunyai,have
takkan,won't
jumpa,see you
atas,top
dua,two
tuhan,god
daripada,from
masalah,problem
lama,old
salah,wrong
faham,understand
mengapa,why
beberapa,some
besar,big
bahawa,that
kena,hit
ibu,mother
mak,mom
bersama,together
sebab,reason
sebelum,before
bila,when
memang,indeed
okay,okay
sekali,once
bercakap,talk
ambil,take
tinggal,stay
perkara,matter
membuat,make
bawa,bring
nama,name
dunia,the world
ingat,remember
sayang,honey
kali,times
berhenti,stop
ayuh,come on
oleh,by
melakukan,do
semuanya,everything
makan,eat
hey,hey
bunuh,kill
cara,way
kereta,car
itulah,that's it
bagi,for
jalan,street
setiap,each
seseorang,someone
sampai,until
sebagai,as
terjadi,happened
kemudian,then
minta,ask for
dulu,first
belum,not yet
perlukan,need
kerja,work
pertama,first
percaya,believe
luar,outside
sedikit,a little
yeah,yes
membunuh,kill
mencari,looking for
cari,search
hebat,great
polis,the police
terlalu,too
katakan,say
ketika,when
apakah,what
cukup,enough
maksud,meaning
tengok,look
ok,okay
lalu,ago
sebenarnya,actually
tentu,of course
ianya,it is
tangan,hand
mesti,must
mengambil,take
kecil,small
manusia,humans
nanti,later
tanpa,without
berapa,how much
sebuah,a
bisa,can
benda,thing
ikut,follow
balik,come back
selalu,always
mendapat,got
maafkan,sorry
berikan,give
bawah,down
benar,true
terus,continue
bodoh,stupid
gila,crazy
budak,boy
patut,should
hal,thing
keluarga,family
perempuan,female
takut,scared
wanita,women
selepas,after
bekerja,work
bergerak,move
telefon,telephone
biarkan,let it
the,the
biar,let it
saat,moment
tiga,three
berjaya,succeeded
paling,most
apabila,when
punya,have
gadis,girl
mata,eyes
tidur,sleep
membawa,carry
hati,heart
guna,use
duduk,sit down
air,water
senjata,weapons
pintu,the door
selama,during
pulang,go home
beliau,he
beri,berries
bandar,city
dapatkan,get
semula,again
jam,hour
waktu,time
bilik,room
disini,here
berdua,both
hilang,lost
pasukan,team
biasa,normal
gembira,happy
membantu,help
tadi,earlier
ialah,is
mendapatkan,get
sesiapa,anyone
sahaja,only
terakhir,the last
mengatakan,said
pagi,morning
penting,important
cinta,love
kalian,you guys
melakukannya,do it
font,font
abang,brother
color,color
depan,front
terbaik,the best
belakang,back
cantik,beautiful
lari,run away
sehingga,until
minit,minutes
bertemu,meet
teruk,bad
kapal,ship
i,i
hai,hi
hello,Hello
yg,that
kenal,know
sepatutnya,should be
mendengar,listen
semasa,current
tolonglah,please
secara,regularly
tinggalkan,leave
lepaskan,let go
wang,money
jauh,away
hentikan,stop it
duit,money
memberitahu,tell
mula,start
kuat,strong
yakin,confident
minum,drink
seluruh,the whole
hampir,almost
buruk,bad
mudah,easy
kepala,head
kehilangan,lose
sekolah,school
en,Mr
kaki,legs
bulan,month
diam,shut up
cik,Ms
si,Si
tembak,shoot
keadaan,situation
walaupun,though
berkata,said
bantuan,help
tetap,fixed
berjalan,walking
kehidupan,life
menarik,interesting
bangun,get up
a,a
encik,mr
sakit,ill
bersedia,ready
puan,ma'am
memberi,give
buka,open
selesai,done
menunggu,waiting
sejak,since
berfikir,thinking
kelihatan,visible
tentera,army
terbang,fly
meninggalkan,leave
antara,between
mampu,able
sila,please
s,s
sial,shit
agak,quite
dimana,where
ramai,many
esok,tomorrow
you,you
selamatkan,save
ku,my
uh,ugh
tepat,exactly
tanya,ask
bermain,play
panggil,call
peluang,opportunity
makanan,food
lepas,off
sedia,ready
pula,anyway
darah,blood
dekat,near
melalui,through
raja,king
teruskan,continue
bantu,help
negara,country
bahagian,section
jatuh,fell
api,fire
amerika,America
harap,hope
naik,up
kapten,captain
nampaknya,apparently
tua,old
sentiasa,always
mengenai,about
memiliki,have
tunjukkan,show
pukul,hit
menggunakan,using
turun,down
supaya,so that
menang,win
ahli,member
kuasa,power
belajar,learn
isteri,wife
ayo,come on
berakhir,ended
tiba,arrived
minggu,week
khabar,hello
arah,direction
memberikan,give
mau,want
rasanya,it feels
suatu,a
janji,promise
cerita,story
anjing,dog
begini,like this
berubah,change
berjumpa,meet
pilihan,choice
pasal,article
inilah,this is it
rancangan,plan
doktor,doctor
tinggi,high
lima,five
tanah,land
setelah,after
hantar,send
peduli,care
ah,ah
lakukannya,do it
marah,angry
memerlukan,need
akhirnya,finally
segera,right away
fikirkan,think about it
jelas,clear
perjalanan,trip
bolehkah,can
teman,friends
sebenar,real
buku,book
risau,worry
sukar,difficult
idea,idea
kurang,less
suruh,tell
berita,news
dengannya,with him
penjara,prison
demi,sake
menyelamatkan,save
perang,war
serius,seriously
kes,case
kematian,death
sepanjang,throughout
bapa,father
sungguh,really
tangkap,catch
lupa,forget
nombor,number
tengah,middle
jaga,take care
pelik,strange
kedua,the second
bukankah,isn't it
permainan,game
padaku,to me
pesawat,plane
penuh,full
la,there
ketua,leader
batu,stone
sebentar,for a while
bermakna,mean
semakin,increasingly